,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Spot Price,Fed Funds Rate,Maturity,Type,Mid
107,SPY210416C00367000,2021-03-16 3:43PM EDT,367.0,30.49,0.0,0.0,0.0,-,49,3184,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
108,SPY210416C00368000,2021-03-16 3:47PM EDT,368.0,29.26,0.0,0.0,0.0,-,1,1377,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
109,SPY210416C00369000,2021-03-15 2:55PM EDT,369.0,27.39,0.0,0.0,0.0,-,1,2188,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
110,SPY210416C00370000,2021-03-16 3:56PM EDT,370.0,27.31,0.0,0.0,0.0,-,611,16643,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
111,SPY210416C00371000,2021-03-16 1:27PM EDT,371.0,27.07,0.0,0.0,0.0,-,11,1097,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
112,SPY210416C00372000,2021-03-15 4:05PM EDT,372.0,25.95,0.0,0.0,0.0,-,19,4867,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
113,SPY210416C00373000,2021-03-16 2:49PM EDT,373.0,23.92,0.0,0.0,0.0,-,59,2251,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
114,SPY210416C00374000,2021-03-15 2:17PM EDT,374.0,22.73,0.0,0.0,0.0,-,4,2340,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
115,SPY210416C00375000,2021-03-16 1:04PM EDT,375.0,23.64,0.0,0.0,0.0,-,86,14181,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
116,SPY210416C00376000,2021-03-16 11:22AM EDT,376.0,21.81,0.0,0.0,0.0,-,4,2794,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
117,SPY210416C00377000,2021-03-16 3:24PM EDT,377.0,21.29,0.0,0.0,0.0,-,6,2669,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
118,SPY210416C00378000,2021-03-16 3:43PM EDT,378.0,20.54,0.0,0.0,0.0,-,31,4393,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
119,SPY210416C00379000,2021-03-16 3:32PM EDT,379.0,19.14,0.0,0.0,0.0,-,44,5947,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
120,SPY210416C00380000,2021-03-16 3:46PM EDT,380.0,18.58,0.0,0.0,0.0,-,213,12248,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
121,SPY210416C00381000,2021-03-16 2:00PM EDT,381.0,17.44,0.0,0.0,0.0,-,10,3646,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
122,SPY210416C00382000,2021-03-16 2:14PM EDT,382.0,16.3,0.0,0.0,0.0,-,37,7062,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
123,SPY210416C00383000,2021-03-16 4:11PM EDT,383.0,16.01,0.0,0.0,0.0,-,62,6662,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
124,SPY210416C00384000,2021-03-16 3:57PM EDT,384.0,15.04,0.0,0.0,0.0,-,589,6449,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
125,SPY210416C00385000,2021-03-16 3:41PM EDT,385.0,14.82,0.0,0.0,0.0,-,399,71741,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
126,SPY210416C00386000,2021-03-16 4:05PM EDT,386.0,13.47,0.0,0.0,0.0,-,410,7785,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
127,SPY210416C00387000,2021-03-16 3:43PM EDT,387.0,13.13,0.0,0.0,0.0,-,192,8258,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
128,SPY210416C00388000,2021-03-16 3:58PM EDT,388.0,11.94,0.0,0.0,0.0,-,272,5601,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
129,SPY210416C00389000,2021-03-16 3:58PM EDT,389.0,11.28,0.0,0.0,0.0,-,277,4225,0.00%,394.36,2021-02-01,2021-04-16,C,0.0
